Region,Sweet_Preference,Festival,Language,Socio_Economic_Class,Purchase_Amount
West India,Puran Poli,Ganesh Chaturthi,Gujarati,Upper,858.24
South India,Payasam,Diwali,Malayalam,Middle,225.55
East India,Pitha,Poila Baisakh,Odia,Lower,700.96
West India,Ladoo,Navratri,Gujarati,Middle,234.25
South India,Payasam,Onam,Telugu,Upper,836.31
North India,Barfi,Karva Chauth,Urdu,Middle,669.36
North India,Gulab Jamun,Diwali,Hindi,Lower,503.55
North India,Barfi,Holi,Urdu,Upper,831.34
East India,Sandesh,Rath Yatra,Bengali,Upper,589.77
North India,Gulab Jamun,Karva Chauth,Punjabi,Upper,745.34
South India,Mysore Pak,Pongal,Malayalam,Upper,613.83
East India,Rasgulla,Rath Yatra,Assamese,Lower,169.5
East India,Rasgulla,Rath Yatra,Assamese,Middle,240.18
East India,Pitha,Durga Puja,Assamese,Middle,499.72
East India,Pitha,Durga Puja,Bengali,Upper,876.2
North India,Rasgulla,Baisakhi,Urdu,Upper,725.33
East India,Chhena Poda,Poila Baisakh,Odia,Lower,937.27
East India,Chhena Poda,Durga Puja,Bengali,Lower,380.69
North India,Gulab Jamun,Baisakhi,Punjabi,Lower,707.86
West India,Puran Poli,Ganesh Chaturthi,Marathi,Lower,806.32
South India,Boondi Laddu,Diwali,Malayalam,Upper,507.85
West India,Ladoo,Navratri,Konkani,Upper,396.71
East India,Rasgulla,Rath Yatra,Odia,Middle,391.22
West India,Ladoo,Diwali,Gujarati,Upper,643.0
South India,Boondi Laddu,Diwali,Kannada,Middle,243.19
South India,Boondi Laddu,Ugadi,Telugu,Middle,388.76
West India,Mohanthal,Gudi Padwa,Marathi,Lower,352.56
East India,Chhena Poda,Makar Sankranti,Bengali,Lower,906.01
South India,Mysore Pak,Onam,Malayalam,Lower,959.73
East India,Rasgulla,Makar Sankranti,Assamese,Middle,761.02
West India,Ladoo,Diwali,Marathi,Middle,765.52
South India,Payasam,Onam,Telugu,Lower,527.71
West India,Mohanthal,Ganesh Chaturthi,Konkani,Middle,867.58
East India,Pitha,Rath Yatra,Odia,Upper,672.31
South India,Mysore Pak,Diwali,Telugu,Upper,421.52
North India,Gulab Jamun,Baisakhi,Urdu,Lower,105.21
East India,Pitha,Makar Sankranti,Assamese,Upper,564.6
South India,Mysore Pak,Pongal,Telugu,Upper,516.95
East India,Rasgulla,Poila Baisakh,Assamese,Middle,366.28
South India,Boondi Laddu,Diwali,Kannada,Lower,464.14
North India,Ladoo,Baisakhi,Urdu,Lower,292.13
East India,Sandesh,Poila Baisakh,Assamese,Lower,947.13
East India,Pitha,Makar Sankranti,Bengali,Lower,456.39
West India,Mohanthal,Diwali,Konkani,Middle,200.32
North India,Rasgulla,Holi,Urdu,Lower,477.62
North India,Ladoo,Holi,Urdu,Upper,652.2
South India,Mysore Pak,Pongal,Telugu,Lower,522.36
South India,Mysore Pak,Diwali,Tamil,Middle,407.46
North India,Barfi,Diwali,Punjabi,Middle,155.47
North India,Ladoo,Holi,Punjabi,Upper,185.58
South India,Mysore Pak,Pongal,Malayalam,Upper,834.47
East India,Rasgulla,Rath Yatra,Odia,Lower,502.74
South India,Mysore Pak,Pongal,Malayalam,Upper,562.23
South India,Kozhukattai,Ugadi,Telugu,Upper,621.15
South India,Boondi Laddu,Diwali,Malayalam,Middle,904.65
West India,Shrikhand,Gudi Padwa,Marathi,Upper,471.74
South India,Mysore Pak,Onam,Tamil,Upper,935.18
South India,Boondi Laddu,Pongal,Malayalam,Middle,949.03
South India,Boondi Laddu,Pongal,Malayalam,Upper,803.07
South India,Payasam,Ugadi,Kannada,Lower,112.76
West India,Puran Poli,Ganesh Chaturthi,Konkani,Lower,377.55
South India,Kozhukattai,Pongal,Malayalam,Lower,823.6
South India,Payasam,Onam,Telugu,Middle,393.95
South India,Kozhukattai,Diwali,Tamil,Lower,309.68
North India,Ladoo,Diwali,Hindi,Lower,425.98
North India,Ladoo,Holi,Urdu,Middle,544.42
North India,Gulab Jamun,Baisakhi,Urdu,Lower,224.06
North India,Ladoo,Diwali,Urdu,Lower,809.95
West India,Puran Poli,Diwali,Marathi,Middle,543.26
East India,Rasgulla,Durga Puja,Assamese,Middle,628.98
South India,Kozhukattai,Ugadi,Kannada,Middle,496.56
West India,Mohanthal,Ganesh Chaturthi,Marathi,Middle,726.69
North India,Ladoo,Diwali,Punjabi,Lower,989.15
South India,Payasam,Onam,Tamil,Upper,266.87
South India,Mysore Pak,Pongal,Malayalam,Lower,199.97
West India,Puran Poli,Gudi Padwa,Marathi,Middle,225.85
West India,Puran Poli,Ganesh Chaturthi,Marathi,Lower,586.53
