Region,Sweet_Preference,Festival,Language,Socio_Economic_Class,Purchase_Amount,Cluster_Label
3,13,3,7,2,-0.4008211399674885,1
1,5,5,12,1,-0.20839389575937775,9
3,5,1,2,0,-0.7232282684515084,3
0,12,10,8,0,1.3322953490083853,6
0,2,7,0,2,-1.6051190541195912,8
0,12,12,0,1,-0.29645969761317986,4
3,5,8,2,2,0.43877032355034257,0
2,7,11,4,1,1.6358642547861455,0
1,11,0,3,1,-0.13835731318273198,7
2,7,13,11,2,-0.05707173054427066,5
1,5,6,9,1,1.103886714191591,9
3,10,4,7,2,1.5889035319253475,1
1,11,1,12,0,-1.4250194812121002,1
0,11,7,8,2,-1.0323446263145477,6
2,8,9,6,1,-0.48911808565817727,0
0,9,12,1,1,0.7951941200295104,4
3,5,3,2,2,1.2112145024526109,3
1,3,5,12,2,-0.851744241760469,9
3,6,8,7,2,1.6683014398959015,0
2,1,11,10,0,0.28760225422649327,5
3,6,1,5,2,0.8912729082287151,3
1,0,6,9,0,-0.5261010995600365,9
0,11,12,0,0,0.16155181517765707,4
2,8,11,6,0,-0.19853175871888196,0
0,9,2,8,1,0.08330962639153609,1
3,10,1,2,2,-1.4833062520803426,7
2,4,1,4,1,-0.35178012257471086,3
2,1,1,6,1,-1.6135172801931383,3
1,11,1,12,1,0.8073291714660579,1
3,5,8,5,0,-0.8633399575776144,0
0,11,7,0,0,-0.8564441664438304,4
3,6,3,2,0,-1.2286242678041022,3
2,7,11,11,1,0.15816170556998665,5
0,12,2,0,2,-0.5366951920840066,7
0,9,2,1,2,0.7609077842246614,7
3,13,1,2,1,1.177968313913752,7
0,2,2,8,0,-1.1328921953602273,2
1,3,1,12,2,-1.0605441744147153,2
1,5,6,9,2,0.2441472128918089,9
2,8,1,10,2,-1.582235814267816,1
1,3,0,3,2,1.0033391451459113,3
0,11,10,1,0,1.248274564300099,4
2,4,13,10,2,0.6187543245393905,5
1,0,1,9,2,-1.1433321919929396,2
2,4,9,4,0,-1.4188556455617902,0
1,3,6,12,0,-1.5356988551079764,9
1,0,6,3,0,1.678587340637356,8
0,2,10,1,0,-0.004447983679750383,8
1,5,6,12,1,-0.10819304246902796,9
0,11,12,0,1,1.3447771162002629,4
3,10,1,7,2,0.6324688588613301,1
2,7,11,11,1,-0.957184355353582,5
0,2,7,1,0,-0.06308147030332299,8
0,9,2,8,1,-1.4916274302082608,1
1,5,6,9,0,-0.4055210646508499,9
2,1,9,10,2,-0.1611249811160641,9
2,4,11,6,2,-0.3971228385773027,0
0,2,12,1,0,-0.7930337071912676,8
3,5,8,5,2,0.17869498308008108,0
1,5,0,9,2,0.8584119594180007,2
2,1,11,11,0,-0.12822550833253518,5
0,11,7,1,1,-0.5210544591213453,4
3,13,4,2,1,-0.23570739248481343,7
2,7,1,4,2,1.5616285591727264,3
0,11,12,8,1,-1.4859644062045387,6
1,0,5,3,0,-1.335720912228236,8
0,2,12,0,1,0.7056644072087597,8
3,13,3,7,2,0.5924809750799449,1
1,11,0,3,1,-1.4479027210638755,7
3,13,8,5,1,-0.9685104033610263,6
0,2,7,1,2,-1.530459594805213,8
0,2,12,1,1,-0.003407836413760664,8
0,12,7,0,2,-1.1910248703372122,4
3,13,4,2,0,-1.6421405919942649,7
1,3,5,9,1,-0.6135119938759932,9
3,13,4,7,0,0.8911573363102718,1
2,1,11,6,0,0.10569205459672398,8
1,0,5,3,1,-0.8439623992519529,8
0,12,7,0,0,-1.5943708657043636,4
1,11,1,12,1,-0.6664054085502145,1
1,0,0,9,1,-0.5268715790163252,2
2,1,1,4,1,1.6531615185798276,3
3,6,3,5,1,-1.0442100099413942,3
1,0,5,3,1,0.6699912083825914,8
0,11,7,0,1,-0.6236052747533756,4
1,3,5,9,2,-1.2072049389192756,9
3,13,1,2,2,-0.3128323860593154,7
0,11,12,8,1,-0.2190650362289766,6
3,5,4,2,1,1.3128792667099094,3
3,13,8,2,1,0.6580102528373015,4
2,4,1,4,2,-0.9043679886249895,3
1,0,1,3,0,-0.19860880666451078,3
3,5,8,2,2,-0.35640299931244324,0
1,5,6,12,2,0.8357983873759264,9
2,1,1,4,1,0.3680403094630369,3
2,4,1,4,0,0.6499972664918986,3
0,11,2,0,0,1.7071336044928533,7
2,7,11,6,1,1.13366574517715,0
1,11,5,12,2,0.8157659215124192,1
3,10,3,7,0,-0.4943188219881263,1
0,9,12,1,0,-1.1898306271799648,4
2,4,9,10,1,-1.0044147460240813,5
2,7,11,10,2,-0.7175652444477864,5
1,3,6,12,1,-0.7285445766999007,9
0,9,12,8,2,-0.19479493335588174,6
1,5,6,3,2,0.20920596954911516,3
1,11,5,9,0,0.24125791493072615,1
0,2,12,0,2,-0.49362539047746645,8
2,7,13,10,1,1.027955963774336,5
1,11,0,12,2,-0.7770077345004621,1
3,10,4,7,0,-0.1510702242114961,1
0,2,7,8,0,-0.7890272140185663,9
0,2,7,0,0,-1.20177305875244,8
3,10,8,7,1,-0.49100576032608473,6
0,2,7,0,1,1.0180167787882113,8
0,9,7,0,2,-0.32870426285886334,4
2,7,11,6,0,1.611979391641195,0
3,10,3,5,0,0.3346015010601061,7
0,11,2,1,1,-0.11605193292317333,7
3,6,1,2,2,0.2388694286162311,3
3,5,4,5,0,-0.004833223407894836,3
0,12,10,1,2,1.5688710660618403,4
3,5,4,5,1,-1.6974224929829815,3
1,5,6,9,0,1.2869526330057934,9
0,11,7,0,1,0.8384565415001223,4
0,9,10,1,2,-0.06554700456344689,4
3,6,1,5,2,0.5120814438162158,3
1,0,5,9,0,0.9068365932457473,9
3,10,8,2,1,0.8139167708173262,4
3,5,4,2,1,-0.029257422172247766,3
3,13,8,5,2,-1.209708997152214,6
0,9,12,8,1,0.5582331632479104,6
3,6,4,7,2,0.5990685744312133,3
0,2,7,8,0,-0.24726458432914442,9
1,11,5,3,2,-1.1353962535931656,7
0,11,2,8,2,0.5329999610544546,1
0,2,7,1,2,1.4860060005379874,8
0,12,12,0,2,1.3464336470312834,4
1,5,0,9,1,-0.7407566760820772,2
2,7,1,10,2,-0.9281758038243113,1
2,1,1,11,1,0.07529664004613357,2
3,6,4,7,2,0.32893847705638385,3
3,6,1,5,0,-0.42482157503088264,3
0,12,2,1,2,0.9454761379786275,7
0,12,12,0,1,-0.5757585005178453,4
1,5,0,12,0,1.190411557132815,2
2,1,11,11,2,-1.6433733591243267,5
2,8,13,4,1,-1.4061812585058406,0
0,12,7,8,1,0.2504266204605621,6
2,7,13,11,1,1.333142876410303,5
0,12,2,1,0,-0.973595567772532,7
0,2,2,0,2,0.41041667955891714,3
1,3,6,9,0,-0.6316953090444071,9
1,5,6,9,1,1.1421795431691406,9
0,11,10,8,0,0.774891986356302,6
3,13,8,7,2,-1.7290506746636338,6
1,5,0,12,1,-0.10480293286135756,2
2,7,1,11,2,0.886072171898766,2
0,11,7,8,2,0.7700379657816829,6
1,11,6,9,1,-0.4315247463005946,6
3,5,4,5,0,-1.022752157083753,3
3,10,4,2,0,-0.3921532460842403,7
2,1,1,11,2,1.5161702712516913,2
1,5,0,9,1,0.7600602568227441,2
3,5,8,5,2,1.6771619536432216,0
0,2,10,8,2,0.7984301337459228,5
2,7,13,11,1,-1.042322335273487,5
1,3,6,3,1,1.6430682377024453,8
0,12,10,0,1,-0.028178750933443207,4
3,13,4,7,1,-1.0299561400000528,1
2,1,9,6,0,1.0532662139134208,8
1,0,6,9,2,1.2662267356316266,9
3,5,1,5,0,-0.18820733400461293,3
3,5,4,7,2,-1.0529934757430859,3
1,3,0,9,0,-1.2203416136489984,2
1,5,0,9,2,-0.7206471622729413,2
0,11,10,8,1,0.715603592194884,6
2,1,1,4,1,-0.8151079436139398,3
0,11,2,0,1,-0.1209444774706067,7
3,5,1,5,1,-0.1043406451875843,3
0,12,2,0,2,1.4057990891383305,7
2,1,1,11,0,0.8480875347037314,2
0,9,10,1,1,-1.4721728239369705,4
0,2,2,1,1,0.4282532789720017,3
0,2,7,0,0,-1.1839749833121702,8
1,3,1,9,0,0.010653413663508608,2
3,6,1,7,2,-0.9479386018781173,3
1,11,0,3,2,-0.44689581145355484,7
2,4,11,10,1,1.3590309861416041,5
3,13,8,7,2,0.13797514381522186,6
2,8,11,4,0,-0.8424214403393753,0
1,0,0,12,0,-0.5165471543020562,2
1,5,5,12,1,1.5761135729509546,9
2,8,1,6,2,0.32057877495565124,1
3,6,3,7,1,1.6073565149034625,3
2,1,9,10,2,-1.1699522572077152,9
0,11,12,0,1,1.507232709558742,4
0,11,7,8,2,-1.3769030391668688,6
0,9,2,8,0,-1.009692530299659,1
2,4,11,6,1,-1.5568099922102878,0
1,0,0,9,2,0.7053176914534296,2
2,1,13,6,0,0.27631473019186353,8
0,12,2,0,2,-1.5377406256671415,7
0,9,2,0,2,-0.9499803724372824,7
1,0,5,3,2,0.39924472744273065,8
2,4,1,4,1,-1.521984320786037,3
1,11,6,9,0,1.1044645737838072,6
1,5,6,9,2,-1.0064950405560609,9
0,2,10,0,2,0.3627625251874595,8
0,12,10,8,1,-1.301126384640872,6
0,11,12,0,1,1.2045883791285281,4
2,1,13,11,1,0.7622175993003524,5
2,1,11,10,0,0.26491163423879016,5
1,11,0,3,2,-0.12514359050738041,7
3,13,3,5,1,-0.5125021371565402,7
2,4,9,4,0,0.3099846824316812,0
0,11,7,0,1,0.10892806831313635,4
0,11,10,8,0,1.0506851077348536,6
2,1,1,11,2,-0.5329198427481917,2
3,10,3,7,1,-1.3210432785859356,1
3,13,4,7,2,-0.8889198755264005,1
1,5,5,3,2,0.035732519965706803,3
1,0,1,12,1,-1.1179834178810404,2
3,10,4,7,2,-0.28794589962118944,1
0,2,10,0,2,0.9727896347040628,8
3,10,4,5,2,1.2731225267654107,7
1,5,0,12,0,1.1467253719612445,2
0,12,7,0,2,1.0576194228414522,4
0,9,12,1,1,-1.4385028716971529,4
3,10,3,7,0,-0.8009311216182271,1
2,7,9,6,2,-0.4406934518304305,0
0,2,12,0,0,-1.228393123967216,8
3,10,4,5,1,1.4003286849986802,7
3,5,3,7,1,-0.43356651685975967,3
1,11,1,3,1,-1.6652934996557411,7
1,5,1,12,0,1.4108842535498358,2
