CustomerID,Region,Cultural Event,Sweet,Rating,Sentiment
1,North India,Diwali,Kaju Katli,2,Positive
2,South India,Pongal,Mysore Pak,5,Negative
3,North India,Diwali,Gulab Jamun,2,Positive
4,North India,Holi,Rasgulla,2,Negative
5,East India,Durga Puja,Pitha,4,Negative
6,East India,Diwali,Pitha,3,Positive
7,North India,Baisakhi,Gulab Jamun,3,Negative
8,East India,Durga Puja,Chomchom,5,Positive
9,West India,Ganesh Chaturthi,Shrikhand,5,Negative
10,South India,Pongal,Mysore Pak,2,Negative
11,North India,Holi,Gulab Jamun,4,Negative
12,West India,Diwali,Puran Poli,3,Negative
13,South India,Diwali,Mysore Pak,5,Positive
14,South India,Onam,Jangiri,4,Negative
15,South India,Diwali,Mysore Pak,2,Positive
16,East India,Poila Baisakh,Rasgulla,1,Positive
17,East India,Diwali,Chomchom,4,Negative
18,South India,Diwali,Payasam,2,Negative
19,West India,Gudi Padwa,Shrikhand,2,Positive
20,West India,Ganesh Chaturthi,Modak,1,Positive
21,South India,Ugadi,Mysore Pak,4,Negative
22,West India,Diwali,Modak,1,Negative
23,East India,Durga Puja,Rasgulla,4,Positive
24,West India,Ganesh Chaturthi,Shrikhand,5,Positive
25,North India,Lohri,Ladoo,2,Negative
26,South India,Pongal,Kozhukattai,4,Positive
27,North India,Lohri,Kaju Katli,2,Positive
28,South India,Pongal,Mysore Pak,4,Positive
29,South India,Onam,Jangiri,5,Positive
30,East India,Poila Baisakh,Pitha,5,Positive
31,East India,Poila Baisakh,Rasgulla,4,Negative
32,North India,Holi,Ladoo,1,Negative
33,North India,Holi,Ladoo,1,Positive
34,North India,Holi,Gulab Jamun,1,Negative
35,North India,Holi,Kaju Katli,4,Positive
36,South India,Ugadi,Payasam,4,Negative
37,South India,Pongal,Mysore Pak,4,Negative
38,West India,Gudi Padwa,Jalebi,1,Positive
39,North India,Baisakhi,Kaju Katli,1,Positive
40,South India,Onam,Jangiri,2,Negative
41,South India,Diwali,Jangiri,2,Positive
42,West India,Ganesh Chaturthi,Modak,5,Positive
43,North India,Holi,Ladoo,4,Negative
44,West India,Navratri,Jalebi,1,Positive
45,West India,Ganesh Chaturthi,Jalebi,3,Negative
46,East India,Poila Baisakh,Chomchom,2,Positive
47,East India,Diwali,Sandesh,5,Positive
48,East India,Durga Puja,Sandesh,5,Negative
49,South India,Pongal,Mysore Pak,2,Positive
50,North India,Holi,Rasgulla,1,Positive
51,North India,Diwali,Rasgulla,5,Negative
52,East India,Diwali,Rasgulla,2,Negative
53,West India,Navratri,Shrikhand,4,Negative
54,North India,Diwali,Rasgulla,5,Positive
55,North India,Holi,Kaju Katli,2,Negative
56,North India,Holi,Kaju Katli,3,Positive
57,West India,Diwali,Modak,5,Negative
58,North India,Holi,Kaju Katli,1,Positive
59,South India,Diwali,Kozhukattai,5,Positive
60,East India,Diwali,Rasgulla,5,Negative
61,East India,Durga Puja,Sandesh,4,Negative
62,North India,Diwali,Kaju Katli,2,Negative
63,South India,Ugadi,Jangiri,5,Positive
64,North India,Diwali,Ladoo,5,Positive
65,East India,Diwali,Chomchom,2,Positive
66,East India,Bihu,Sandesh,3,Positive
67,South India,Pongal,Kozhukattai,5,Negative
68,South India,Onam,Payasam,2,Negative
69,North India,Holi,Kaju Katli,4,Positive
70,East India,Diwali,Sandesh,4,Positive
71,West India,Navratri,Puran Poli,4,Negative
72,East India,Diwali,Pitha,1,Positive
73,West India,Diwali,Shrikhand,1,Negative
74,East India,Poila Baisakh,Rasgulla,1,Positive
75,East India,Diwali,Rasgulla,1,Positive
76,West India,Diwali,Shrikhand,4,Positive
77,West India,Navratri,Shrikhand,1,Negative
78,North India,Holi,Kaju Katli,4,Positive
79,East India,Bihu,Sandesh,3,Negative
80,West India,Diwali,Jalebi,3,Positive
81,South India,Ugadi,Jangiri,2,Negative
82,West India,Ganesh Chaturthi,Shrikhand,3,Positive
83,West India,Diwali,Jalebi,4,Negative
84,South India,Ugadi,Payasam,1,Negative
85,East India,Durga Puja,Pitha,3,Positive
86,South India,Onam,Mysore Pak,1,Positive
87,West India,Ganesh Chaturthi,Jalebi,4,Positive
88,West India,Gudi Padwa,Jalebi,2,Positive
89,North India,Diwali,Rasgulla,2,Positive
90,West India,Ganesh Chaturthi,Puran Poli,1,Negative
91,South India,Ugadi,Kozhukattai,4,Negative
92,West India,Navratri,Jalebi,4,Negative
93,South India,Diwali,Jangiri,2,Negative
94,West India,Ganesh Chaturthi,Shrikhand,2,Negative
95,East India,Bihu,Sandesh,2,Positive
96,South India,Ugadi,Payasam,2,Positive
97,West India,Gudi Padwa,Shrikhand,5,Negative
98,West India,Ganesh Chaturthi,Puran Poli,4,Negative
99,North India,Baisakhi,Rasgulla,1,Negative
100,East India,Poila Baisakh,Chomchom,5,Positive
101,West India,Navratri,Shrikhand,4,Negative
102,North India,Baisakhi,Kaju Katli,4,Positive
103,West India,Navratri,Modak,4,Positive
104,North India,Baisakhi,Ladoo,4,Positive
105,North India,Lohri,Rasgulla,3,Positive
106,West India,Diwali,Shrikhand,4,Negative
107,West India,Diwali,Modak,4,Positive
108,North India,Lohri,Ladoo,1,Positive
109,North India,Holi,Ladoo,1,Positive
110,South India,Onam,Jangiri,1,Positive
111,West India,Diwali,Shrikhand,2,Positive
112,South India,Diwali,Mysore Pak,5,Positive
113,East India,Poila Baisakh,Chomchom,2,Positive
114,South India,Pongal,Kozhukattai,5,Positive
115,North India,Lohri,Rasgulla,3,Positive
116,East India,Durga Puja,Chomchom,4,Positive
117,West India,Diwali,Jalebi,2,Negative
118,South India,Diwali,Jangiri,4,Negative
119,East India,Bihu,Pitha,1,Negative
120,West India,Navratri,Jalebi,5,Negative
121,East India,Durga Puja,Chomchom,3,Positive
122,West India,Navratri,Shrikhand,3,Negative
123,East India,Bihu,Sandesh,5,Positive
124,North India,Holi,Rasgulla,4,Positive
125,West India,Gudi Padwa,Jalebi,1,Positive
126,East India,Diwali,Chomchom,2,Negative
127,East India,Poila Baisakh,Rasgulla,4,Negative
128,East India,Poila Baisakh,Rasgulla,3,Negative
129,South India,Pongal,Payasam,3,Positive
130,South India,Onam,Payasam,4,Negative
131,East India,Durga Puja,Pitha,3,Positive
132,East India,Diwali,Rasgulla,1,Positive
133,East India,Durga Puja,Sandesh,5,Negative
134,South India,Ugadi,Mysore Pak,1,Negative
135,West India,Gudi Padwa,Jalebi,3,Positive
136,North India,Lohri,Rasgulla,1,Positive
137,West India,Gudi Padwa,Modak,5,Positive
138,South India,Onam,Kozhukattai,1,Positive
139,North India,Baisakhi,Ladoo,5,Negative
140,West India,Gudi Padwa,Shrikhand,5,Negative
141,East India,Durga Puja,Sandesh,2,Positive
142,East India,Durga Puja,Pitha,2,Positive
143,North India,Holi,Gulab Jamun,4,Negative
144,West India,Diwali,Modak,2,Negative
145,East India,Poila Baisakh,Sandesh,2,Negative
146,South India,Ugadi,Mysore Pak,5,Positive
147,South India,Diwali,Payasam,1,Positive
148,South India,Diwali,Kozhukattai,4,Positive
149,West India,Diwali,Jalebi,3,Negative
150,West India,Ganesh Chaturthi,Modak,4,Negative
151,East India,Durga Puja,Sandesh,2,Positive
152,East India,Durga Puja,Pitha,4,Negative
153,East India,Diwali,Chomchom,4,Positive
154,West India,Diwali,Jalebi,3,Negative
155,North India,Holi,Kaju Katli,4,Negative
156,East India,Poila Baisakh,Sandesh,4,Positive
157,East India,Bihu,Rasgulla,1,Negative
158,North India,Baisakhi,Rasgulla,1,Positive
159,East India,Poila Baisakh,Chomchom,1,Positive
160,East India,Diwali,Rasgulla,4,Negative
161,North India,Diwali,Ladoo,2,Negative
162,North India,Baisakhi,Gulab Jamun,2,Positive
163,West India,Ganesh Chaturthi,Puran Poli,4,Negative
164,East India,Poila Baisakh,Chomchom,4,Positive
165,West India,Navratri,Jalebi,2,Positive
166,North India,Lohri,Rasgulla,3,Negative
167,North India,Lohri,Kaju Katli,5,Negative
168,South India,Ugadi,Jangiri,3,Negative
169,West India,Gudi Padwa,Shrikhand,2,Positive
170,West India,Navratri,Jalebi,1,Negative
171,West India,Gudi Padwa,Jalebi,2,Negative
172,North India,Holi,Kaju Katli,1,Negative
173,North India,Baisakhi,Gulab Jamun,2,Negative
174,South India,Pongal,Jangiri,3,Negative
175,West India,Ganesh Chaturthi,Shrikhand,5,Negative
176,East India,Poila Baisakh,Sandesh,5,Positive
177,South India,Diwali,Payasam,1,Negative
178,North India,Diwali,Rasgulla,2,Negative
179,North India,Diwali,Kaju Katli,1,Negative
180,East India,Bihu,Chomchom,2,Positive
181,West India,Navratri,Puran Poli,2,Positive
182,West India,Navratri,Jalebi,5,Positive
183,South India,Ugadi,Kozhukattai,4,Negative
184,North India,Baisakhi,Kaju Katli,5,Positive
185,North India,Baisakhi,Kaju Katli,5,Negative
186,West India,Diwali,Jalebi,3,Positive
187,West India,Gudi Padwa,Modak,2,Negative
188,East India,Bihu,Rasgulla,1,Negative
189,East India,Durga Puja,Sandesh,5,Negative
190,East India,Diwali,Rasgulla,2,Positive
191,East India,Diwali,Sandesh,1,Negative
192,West India,Ganesh Chaturthi,Shrikhand,2,Positive
193,East India,Bihu,Chomchom,2,Positive
194,South India,Diwali,Kozhukattai,2,Negative
195,West India,Diwali,Shrikhand,1,Negative
196,North India,Holi,Ladoo,4,Negative
197,North India,Baisakhi,Gulab Jamun,3,Positive
198,West India,Diwali,Shrikhand,5,Negative
199,East India,Durga Puja,Pitha,4,Positive
